CODE,EEB388H1-S-20229-LEC-0101
CAP,55
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,25
1657659562,25
1657678580,25
1657700377,25
1657734892,26
1657736031,26
1657737680,26
1657744796,26
1657780717,26
1657815723,27
1657827444,27
1657841424,27
1657851524,27
1657853756,27
1657868023,27
1657911025,59
1657914749,59
1657938204,59
1657991885,60
1658011963,60
1658085387,60
1658086283,60
1658101152,60
1658101473,60
1658117893,60
1658120808,60
1658149282,62
1658163609,62
1658192584,62
1658255580,67
1658255781,67
1658265969,67
1658282799,67
1658284132,67
1658341011,69
1658425310,68
1658438101,68
1658446157,68
1658446785,68
1658460004,68
1658514131,67
1658536189,67
1658552506,67
1658614194,68
1658631652,68
1658698082,68
1658768591,69
1658788819,69
1658856132,69
1658878866,69
1658879072,69
1658965232,69
1659041782,69
1659049575,69
1659055055,69
