CODE,ENG250H1-S-20229-LEC-5101
CAP,108
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,22
1657914749,22
1657938204,22
1657991885,22
1658011963,22
1658085387,22
1658086283,22
1658101152,22
1658101473,22
1658117893,22
1658120808,22
1658149282,22
1658163609,22
1658192584,22
1658255580,141
1658255781,141
1658265969,141
1658282799,141
1658284132,141
1658341011,141
1658425310,142
1658438101,142
1658446157,142
1658446785,142
1658460004,142
1658514131,144
1658536189,144
1658552506,144
1658614194,145
1658631652,145
1658698082,145
1658768591,145
1658788819,145
1658856132,145
1658878866,145
1658879072,145
1658965232,143
1659041782,143
1659049575,143
1659055055,143
1659106110,143
1659116097,143
1659126308,143
1659137081,143
1659154622,143
1659160562,143
1659197518,147
1659228149,147
1659229856,147
1659252439,147
1659298092,150
