CODE,ENG308Y1-Y-20229-LEC-0101,ENG308Y1-Y-20229-LEC-0201
CAP,45,45
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,0,0
1657560899,0,0
1657592485,0,0
1657598160,0,0
1657657525,10,9
1657659552,10,9
1657678573,10,9
1657700368,10,9
1657734875,10,11
1657736016,10,11
1657737668,10,11
1657744785,10,11
1657780710,10,11
1657815712,11,12
1657827436,11,12
1657841417,11,12
1657851515,11,12
1657853748,11,12
1657868016,11,12
1657911019,27,36
1657914739,27,36
1657938197,27,36
1657991877,27,36
1658011954,27,36
1658085375,29,35
1658086268,29,35
1658101144,29,35
1658101464,29,35
1658117882,29,35
1658120797,29,35
1658149266,29,35
1658163601,29,35
1658192573,29,35
1658255573,36,40
1658255774,36,40
1658265957,36,40
1658282792,36,40
1658284123,36,40
1658341004,36,40
1658425299,37,40
1658438090,37,40
1658446148,37,40
1658446775,37,40
1658459996,37,40
1658514124,37,40
1658536180,37,40
1658552499,37,40
1658614187,37,40
1658631643,37,40
1658698075,37,40
1658768582,37,39
1658788813,37,39
1658856126,37,39
1658878858,37,39
1658879064,37,39
1658965226,37,39
1659041774,37,39
1659049569,37,39
1659055046,37,39
1659106104,37,39
1659116092,37,39
1659126300,37,39
1659137075,37,39
1659154614,37,39
1659160556,37,39
1659197512,35,40
1659228143,35,40
1659229850,35,40
1659252433,35,40
1659298086,36,40
