CODE,ENV299Y1-Y-20229-LEC-0101,ENV299Y1-Y-20229-LEC-5101
CAP,9999,9999
1656647691,0,0
1656655658,0,0
1656693725,0,0
1656799545,0,0
1657039032,0,0
1657124785,0,0
1657129902,0,0
1657154828,0,0
1657154929,0,0
1657157139,0,0
1657169427,0,0
1657171607,0,0
1657208567,0,0
1657224152,0,0
1657394890,0,0
1657522642,15,0
1657560899,15,0
1657592485,15,0
1657598160,15,0
1657657525,15,0
1657659552,15,0
1657678573,15,0
1657700368,15,0
1657734875,15,0
1657736016,15,0
1657737668,15,0
1657744785,15,0
1657780710,15,0
1657815712,15,0
1657827436,15,0
1657841417,15,0
1657851515,15,0
1657853748,15,0
1657868016,15,0
1657911019,15,0
1657914739,15,0
1657938197,15,0
1657991877,15,0
1658011954,15,0
1658085375,15,0
1658086268,15,0
1658101144,15,0
1658101464,15,0
1658117882,15,0
1658120797,15,0
1658149266,15,0
1658163601,15,0
1658192573,15,0
1658255573,14,0
1658255774,14,0
1658265957,14,0
1658282792,14,0
1658284123,14,0
1658341004,14,0
1658425299,14,0
1658438090,14,0
1658446148,14,0
1658446775,14,0
1658459996,14,0
1658514124,14,0
1658536180,14,0
1658552499,14,0
1658614187,14,0
1658631643,14,0
1658698075,14,0
1658768582,14,0
1658788813,14,0
1658856126,14,0
1658878858,14,0
1658879064,14,0
