CODE,ENV323H1-S-20229-LEC-0101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,22
1657914749,22
1657938204,22
1657991885,22
1658011963,22
1658085387,22
1658086283,22
1658101152,22
1658101473,22
1658117893,22
1658120808,22
1658149282,22
1658163609,22
1658192584,22
1658255580,26
1658255781,26
1658265969,26
1658282799,26
1658284132,26
1658341011,27
1658425310,27
1658438101,27
1658446157,27
1658446785,27
1658460004,27
1658514131,27
1658536189,27
1658552506,27
1658614194,27
1658631652,27
1658698082,27
1658768591,28
1658788819,28
1658856132,28
1658878866,28
1658879072,28
1658965232,28
1659041782,28
1659049575,28
1659055055,28
