CODE,ENV333H1-F-20229-LEC-0101
CAP,120
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,26
1657659549,26
1657678570,26
1657700365,26
1657734871,26
1657736010,26
1657737663,26
1657744779,26
1657780708,26
1657815709,27
1657827433,27
1657841414,27
1657851506,27
1657853745,27
1657868013,27
1657911016,94
1657914736,94
1657938194,94
1657991875,95
1658011950,95
1658085371,95
1658086263,95
1658101142,95
1658101460,95
1658117879,95
1658120793,95
1658149259,96
1658163599,96
1658192570,96
1658255570,108
1658255771,108
1658265950,108
1658282790,108
1658284116,108
1658341001,112
1658425295,113
1658438086,113
1658446145,113
1658446771,113
1658459993,113
1658514122,114
1658536177,114
1658552496,114
1658614184,115
1658631640,115
1658698072,115
1658768579,116
1658788810,116
1658856123,119
1658878855,119
1658879061,119
