CODE,ESS224H1-S-20229-LEC-0101,ESS224H1-S-20229-LEC-2001
CAP,49,13
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,13
1657560905,0,13
1657592491,0,13
1657598166,0,13
1657657537,5,13
1657659562,5,13
1657678580,5,13
1657700377,5,13
1657734892,5,15
1657736031,5,15
1657737680,5,15
1657744796,5,15
1657780717,5,15
1657815723,6,16
1657827444,6,16
1657841424,6,16
1657851524,6,16
1657853756,6,16
1657868023,6,16
1657911025,19,16
1657914749,19,16
1657938204,19,16
1657991885,19,16
1658011963,19,16
1658085387,19,16
1658086283,19,16
1658101152,19,16
1658101473,19,16
1658117893,19,16
1658120808,19,16
1658149282,19,16
1658163609,19,16
1658192584,19,16
1658255580,49,20
1658255781,49,20
1658265969,49,20
1658282799,49,20
1658284132,49,20
1658341011,50,20
1658425310,51,19
1658438101,51,19
1658446157,51,19
1658446785,51,19
1658460004,51,19
1658514131,53,19
