CODE,EST100H1-F-20229-LEC-5101
CAP,25
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,1
1657659549,1
1657678570,1
1657700365,1
1657734871,1
1657736010,1
1657737663,1
1657744779,1
1657780708,1
1657815709,1
1657827433,1
1657841414,1
1657851506,1
1657853745,1
1657868013,1
1657911016,1
1657914736,1
1657938194,1
1657991875,1
1658011950,1
1658085371,1
1658086263,1
1658101142,1
1658101460,1
1658117879,1
1658120793,1
1658149259,1
1658163599,1
1658192570,1
1658255570,1
1658255771,1
1658265950,1
1658282790,1
1658284116,1
1658341001,1
1658425295,1
1658438086,1
1658446145,1
1658446771,1
1658459993,1
1658514122,3
1658536177,3
1658552496,3
1658614184,3
1658631640,3
1658698072,3
1658768579,3
1658788810,3
1658856123,3
1658878855,3
1658879061,3
