CODE,EUR300H1-S-20229-LEC-0101
CAP,25
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,1
1657659562,1
1657678580,1
1657700377,1
1657734892,1
1657736031,1
1657737680,1
1657744796,1
1657780717,1
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,8
1657914749,8
1657938204,8
1657991885,8
1658011963,8
1658085387,8
1658086283,8
1658101152,8
1658101473,8
1658117893,8
1658120808,8
1658149282,8
1658163609,8
1658192584,8
1658255580,12
1658255781,12
1658265969,12
1658282799,12
1658284132,12
1658341011,13
1658425310,13
1658438101,13
1658446157,13
1658446785,13
1658460004,13
1658514131,13
