CODE,FAH311H1-S-20229-LEC-0101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,13
1657659562,13
1657678580,13
1657700377,13
1657734892,13
1657736031,13
1657737680,13
1657744796,13
1657780717,13
1657815723,13
1657827444,13
1657841424,13
1657851524,13
1657853756,13
1657868023,13
1657911025,32
1657914749,32
1657938204,32
1657991885,33
1658011963,33
1658085387,33
1658086283,33
1658101152,33
1658101473,33
1658117893,33
1658120808,33
1658149282,33
1658163609,33
1658192584,33
1658255580,40
1658255781,40
1658265969,40
1658282799,40
1658284132,40
1658341011,42
1658425310,43
1658438101,43
1658446157,43
1658446785,43
1658460004,43
1658514131,46
1658536189,46
1658552506,46
1658614194,46
1658631652,46
1658698082,46
1658768591,46
1658788819,46
1658856132,46
1658878866,46
1658879072,46
