CODE,FAH363H1-F-20229-LEC-0101
CAP,120
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,23
1657659549,23
1657678570,23
1657700365,23
1657734871,25
1657736010,25
1657737663,25
1657744779,25
1657780708,25
1657815709,26
1657827433,26
1657841414,26
1657851506,26
1657853745,26
1657868013,26
1657911016,51
1657914736,51
1657938194,51
1657991875,51
1658011950,51
1658085371,51
1658086263,51
1658101142,51
1658101460,51
1658117879,51
1658120793,51
1658149259,50
1658163599,50
1658192570,50
1658255570,58
1658255771,58
1658265950,58
1658282790,58
1658284116,58
1658341001,58
1658425295,58
1658438086,58
1658446145,58
1658446771,58
1658459993,58
1658514122,60
1658536177,60
1658552496,60
1658614184,60
1658631640,60
1658698072,60
1658768579,56
1658788810,56
1658856123,55
1658878855,55
1658879061,55
1658965224,54
1659041771,53
1659049567,53
1659055044,53
