CODE,FOR201H1-S-20229-LEC-0101
CAP,210
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,22
1657659562,22
1657678580,22
1657700377,22
1657734892,21
1657736031,21
1657737680,21
1657744796,21
1657780717,21
1657815723,21
1657827444,21
1657841424,21
1657851524,21
1657853756,21
1657868023,21
1657911025,39
1657914749,39
1657938204,39
1657991885,40
1658011963,40
1658085387,40
1658086283,40
1658101152,40
1658101473,40
1658117893,40
1658120808,40
1658149282,40
1658163609,40
1658192584,40
1658255580,88
1658255781,88
1658265969,88
1658282799,88
1658284132,88
1658341011,92
1658425310,93
1658438101,93
1658446157,93
1658446785,93
1658460004,93
1658514131,107
1658536189,107
1658552506,107
1658614194,106
1658631652,106
1658698082,107
1658768591,109
1658788819,109
1658856132,110
1658878866,110
1658879072,110
1658965232,109
1659041782,110
1659049575,110
1659055055,110
1659106110,109
1659116097,109
1659126308,109
1659137081,109
1659154622,109
1659160562,109
1659197518,112
1659228149,112
1659229856,112
1659252439,112
1659298092,111
