CODE,FOR303H1-F-20229-LEC-0101
CAP,80
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,31
1657659549,31
1657678570,31
1657700365,31
1657734871,30
1657736010,30
1657737663,30
1657744779,30
1657780708,30
1657815709,30
1657827433,30
1657841414,30
1657851506,30
1657853745,30
1657868013,30
1657911016,64
1657914736,64
1657938194,64
1657991875,66
1658011950,66
1658085371,66
1658086263,66
1658101142,66
1658101460,66
1658117879,66
1658120793,66
1658149259,66
1658163599,66
1658192570,66
1658255570,76
1658255771,76
1658265950,76
1658282790,76
1658284116,76
1658341001,77
1658425295,77
1658438086,77
1658446145,77
1658446771,77
1658459993,77
1658514122,77
1658536177,77
1658552496,77
1658614184,76
1658631640,76
1658698072,77
1658768579,77
1658788810,77
1658856123,77
1658878855,77
1658879061,77
1658965224,77
1659041771,77
1659049567,77
1659055044,77
1659106101,77
1659116089,77
1659126296,77
1659137072,77
1659154611,77
1659160554,77
1659197509,84
1659228141,84
1659229848,84
1659252431,84
1659298084,84
