CODE,FOR310H1-S-20229-LEC-0101,FOR310H1-S-20229-LEC-2001
CAP,40,5
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,3
1657560905,0,3
1657592491,0,3
1657598166,0,3
1657657537,9,3
1657659562,9,3
1657678580,9,3
1657700377,9,3
1657734892,11,3
1657736031,11,3
1657737680,11,3
1657744796,11,3
1657780717,11,3
1657815723,11,7
1657827444,11,7
1657841424,11,7
1657851524,11,7
1657853756,11,7
1657868023,11,7
1657911025,23,7
1657914749,23,7
1657938204,23,7
1657991885,25,7
1658011963,25,7
1658085387,24,7
1658086283,24,7
1658101152,24,7
1658101473,24,7
1658117893,24,7
1658120808,24,7
1658149282,25,7
1658163609,25,7
1658192584,25,7
1658255580,28,7
1658255781,28,7
1658265969,28,7
1658282799,28,7
1658284132,28,7
1658341011,29,7
1658425310,29,7
1658438101,29,7
1658446157,29,7
1658446785,29,7
1658460004,29,7
1658514131,30,7
1658536189,30,7
1658552506,30,7
1658614194,29,7
1658631652,29,7
1658698082,29,7
1658768591,29,7
1658788819,29,7
1658856132,28,7
1658878866,28,7
1658879072,28,7
1658965232,28,7
1659041782,29,7
1659049575,29,7
1659055055,29,7
1659106110,29,7
1659116097,29,7
1659126308,29,7
1659137081,29,7
1659154622,29,7
1659160562,29,7
1659197518,31,7
1659228149,31,7
1659229856,31,7
1659252439,31,7
1659298092,31,7
