CODE,FSL320H1-F-20229-LEC-0101,FSL320H1-F-20229-LEC-5101
CAP,35,35
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,1,2
1657659549,1,2
1657678570,1,2
1657700365,1,2
1657734871,2,2
1657736010,2,2
1657737663,2,2
1657744779,2,2
1657780708,2,2
1657815709,2,2
1657827433,2,2
1657841414,2,2
1657851506,2,2
1657853745,2,2
1657868013,2,2
1657911016,13,13
1657914736,13,13
1657938194,13,13
1657991875,14,13
1658011950,14,13
1658085371,14,13
1658086263,14,13
1658101142,14,13
1658101460,14,13
1658117879,14,13
1658120793,14,13
1658149259,14,13
1658163599,14,13
1658192570,14,13
1658255570,36,19
1658255771,36,19
1658265950,36,19
1658282790,36,19
1658284116,36,19
1658341001,36,19
1658425295,36,20
1658438086,36,20
1658446145,36,20
1658446771,36,20
1658459993,36,20
1658514122,37,21
1658536177,37,21
1658552496,37,21
1658614184,37,21
1658631640,37,21
1658698072,37,21
1658768579,37,21
1658788810,37,21
1658856123,37,21
1658878855,37,21
1658879061,37,21
1658965224,37,21
1659041771,37,21
1659049567,37,21
1659055044,37,21
1659106101,37,21
1659116089,37,21
1659126296,37,21
1659137072,37,21
1659154611,37,21
1659160554,37,21
1659197509,47,35
1659228141,47,35
1659229848,47,35
1659252431,47,35
1659298084,46,38
