CODE,FSL322H1-S-20229-LEC-0101,FSL322H1-S-20229-LEC-5101
CAP,35,35
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,1,2
1657659562,1,2
1657678580,1,2
1657700377,1,2
1657734892,2,2
1657736031,2,2
1657737680,2,2
1657744796,2,2
1657780717,2,2
1657815723,2,2
1657827444,2,2
1657841424,2,2
1657851524,2,2
1657853756,2,2
1657868023,2,2
1657911025,10,13
1657914749,10,13
1657938204,10,13
1657991885,10,14
1658011963,10,14
1658085387,10,14
1658086283,10,14
1658101152,10,14
1658101473,10,14
1658117893,10,14
1658120808,10,14
1658149282,10,14
1658163609,10,14
1658192584,10,14
1658255580,24,28
1658255781,24,28
1658265969,24,28
1658282799,24,28
1658284132,24,28
1658341011,24,28
1658425310,24,28
1658438101,24,28
1658446157,24,28
1658446785,24,28
1658460004,24,28
1658514131,26,28
