CODE,FSL420H1-S-20229-LEC-5101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,9
1657736031,9
1657737680,9
1657744796,9
1657780717,9
1657815723,9
1657827444,9
1657841424,9
1657851524,9
1657853756,9
1657868023,9
1657911025,23
1657914749,23
1657938204,23
1657991885,23
1658011963,23
1658085387,23
1658086283,23
1658101152,23
1658101473,23
1658117893,23
1658120808,23
1658149282,23
1658163609,23
1658192584,23
1658255580,26
1658255781,26
1658265969,26
1658282799,26
1658284132,26
1658341011,28
1658425310,28
1658438101,28
1658446157,28
1658446785,28
1658460004,28
1658514131,29
1658536189,29
1658552506,29
1658614194,30
1658631652,30
1658698082,30
1658768591,30
1658788819,30
1658856132,30
1658878866,30
1658879072,30
