CODE,FSL473H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,15
1657659562,15
1657678580,15
1657700377,15
1657734892,15
1657736031,15
1657737680,15
1657744796,15
1657780717,15
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,21
1657914749,21
1657938204,21
1657991885,21
1658011963,21
1658085387,22
1658086283,22
1658101152,22
1658101473,22
1658117893,22
1658120808,22
1658149282,22
1658163609,22
1658192584,22
1658255580,24
1658255781,24
1658265969,24
1658282799,24
1658284132,24
1658341011,24
1658425310,24
1658438101,24
1658446157,24
1658446785,24
1658460004,24
1658514131,24
1658536189,24
1658552506,24
1658614194,24
1658631652,24
1658698082,24
1658768591,24
1658788819,24
1658856132,25
1658878866,25
1658879072,25
1658965232,25
1659041782,25
1659049575,25
1659055055,25
1659106110,25
1659116097,25
1659126308,25
1659137081,25
1659154622,25
1659160562,25
1659197518,28
1659228149,28
1659229856,28
1659252439,28
1659298092,28
