CODE,GER150H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,2
1657659549,2
1657678570,2
1657700365,2
1657734871,2
1657736010,2
1657737663,2
1657744779,2
1657780708,2
1657815709,2
1657827433,2
1657841414,2
1657851506,2
1657853745,2
1657868013,2
1657911016,3
1657914736,3
1657938194,3
1657991875,3
1658011950,3
1658085371,3
1658086263,3
1658101142,3
1658101460,3
1658117879,3
1658120793,3
1658149259,3
1658163599,3
1658192570,3
1658255570,8
1658255771,8
1658265950,8
1658282790,8
1658284116,8
1658341001,7
1658425295,7
1658438086,7
1658446145,7
1658446771,7
1658459993,7
1658514122,12
