CODE,GGR124H1-S-20229-LEC-0101,GGR124H1-S-20229-LEC-5101
CAP,400,400
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,1
1657560905,0,1
1657592491,0,1
1657598166,0,1
1657657537,0,1
1657659562,0,1
1657678580,0,1
1657700377,0,1
1657734892,0,1
1657736031,0,1
1657737680,0,1
1657744796,0,1
1657780717,0,1
1657815723,0,1
1657827444,0,1
1657841424,0,1
1657851524,0,1
1657853756,0,1
1657868023,0,1
1657911025,0,1
1657914749,0,1
1657938204,0,1
1657991885,0,1
1658011963,0,1
1658085387,0,1
1658086283,0,1
1658101152,0,1
1658101473,0,1
1658117893,0,1
1658120808,0,1
1658149282,0,1
1658163609,0,1
1658192584,0,1
1658255580,15,2
1658255781,15,2
1658265969,15,2
1658282799,15,2
1658284132,15,2
1658341011,14,2
1658425310,13,2
1658438101,13,2
1658446157,13,2
1658446785,13,2
1658460004,13,2
1658514131,263,99
1658536189,263,99
1658552506,263,99
1658614194,268,102
1658631652,268,102
1658698082,268,102
1658768591,269,103
1658788819,269,103
1658856132,272,104
1658878866,272,104
1658879072,272,104
