CODE,HIS267H1-S-20229-LEC-0101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,15
1657659562,15
1657678580,15
1657700377,15
1657734892,15
1657736031,15
1657737680,15
1657744796,15
1657780717,15
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,29
1657914749,29
1657938204,29
1657991885,29
1658011963,29
1658085387,30
1658086283,30
1658101152,30
1658101473,30
1658117893,30
1658120808,30
1658149282,30
1658163609,30
1658192584,30
1658255580,48
1658255781,48
1658265969,48
1658282799,48
1658284132,48
1658341011,48
1658425310,50
1658438101,50
1658446157,50
1658446785,50
1658460004,50
1658514131,61
1658536189,61
1658552506,61
1658614194,63
1658631652,63
1658698082,65
1658768591,65
1658788819,65
1658856132,67
1658878866,67
1658879072,67
1658965232,70
1659041782,72
1659049575,72
1659055055,72
