CODE,HIS319H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,24
1657659549,24
1657678570,24
1657700365,24
1657734871,25
1657736010,25
1657737663,25
1657744779,25
1657780708,25
1657815709,25
1657827433,25
1657841414,25
1657851506,25
1657853745,25
1657868013,25
1657911016,75
1657914736,75
1657938194,75
1657991875,74
1658011950,74
1658085371,74
1658086263,74
1658101142,74
1658101460,74
1658117879,74
1658120793,74
1658149259,72
1658163599,72
1658192570,72
1658255570,76
1658255771,76
1658265950,76
1658282790,76
1658284116,76
1658341001,77
1658425295,77
1658438086,77
1658446145,77
1658446771,77
1658459993,77
1658514122,77
