CODE,HIS389H1-F-20229-LEC-0101,HIS389H1-F-20229-LEC-0201,HIS389H1-F-20229-LEC-0301,HIS389H1-F-20229-LEC-0401,HIS389H1-F-20229-LEC-0501
CAP,45,45,45,23,45
1656647689,0,0,0,0,0
1656655656,0,0,0,0,0
1656693722,0,0,0,0,0
1656799543,0,0,0,0,0
1657039029,0,0,0,0,0
1657124783,0,0,0,0,0
1657129900,0,0,0,0,0
1657154826,0,0,0,0,0
1657154927,0,0,0,0,0
1657157137,0,0,0,0,0
1657169424,0,0,0,0,0
1657171604,0,0,0,0,0
1657208564,0,0,0,0,0
1657224150,0,0,0,0,0
1657394888,0,0,0,0,0
1657522639,0,0,1,0,0
1657560897,0,0,1,0,0
1657592482,0,0,1,0,0
1657598158,0,0,1,0,0
1657657520,6,5,6,24,13
1657659549,6,5,6,24,13
1657678570,6,5,6,24,13
1657700365,6,5,6,24,13
1657734871,6,5,6,23,15
1657736010,6,5,6,23,15
1657737663,6,5,6,23,15
1657744779,6,5,6,23,15
1657780708,6,5,6,23,15
1657815709,6,5,6,22,15
1657827433,6,5,6,22,15
1657841414,6,5,6,22,15
1657851506,6,5,6,22,15
1657853745,6,5,6,22,15
1657868013,6,5,6,22,15
1657911016,9,10,9,29,21
1657914736,9,10,9,29,21
1657938194,9,10,9,29,21
1657991875,9,11,9,29,23
1658011950,9,11,9,29,23
1658085371,9,11,9,29,24
1658086263,9,11,9,29,24
1658101142,9,11,9,29,24
1658101460,9,11,9,29,24
1658117879,9,11,9,29,24
1658120793,9,11,9,29,24
1658149259,8,11,9,29,23
1658163599,8,11,9,29,23
1658192570,8,11,9,29,23
1658255570,9,11,12,30,25
1658255771,9,11,12,30,25
1658265950,9,11,12,30,25
1658282790,9,11,12,30,25
1658284116,9,11,12,30,25
1658341001,9,11,12,29,26
1658425295,9,12,12,29,26
1658438086,9,12,12,29,26
1658446145,9,12,12,29,26
1658446771,9,12,12,29,26
1658459993,9,12,12,29,26
1658514122,9,11,13,29,26
