CODE,HIS477H1-F-20229-LEC-0101
CAP,16
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,24
1657659549,24
1657678570,24
1657700365,24
1657734871,26
1657736010,26
1657737663,26
1657744779,26
1657780708,26
1657815709,26
1657827433,26
1657841414,26
1657851506,26
1657853745,26
1657868013,26
1657911016,26
1657914736,26
1657938194,26
1657991875,26
1658011950,26
1658085371,27
1658086263,27
1658101142,27
1658101460,27
1658117879,27
1658120793,27
1658149259,27
1658163599,27
1658192570,27
1658255570,27
1658255771,27
1658265950,27
1658282790,27
1658284116,27
1658341001,27
1658425295,26
1658438086,26
1658446145,26
1658446771,26
1658459993,26
1658514122,26
1658536177,26
1658552496,26
1658614184,26
1658631640,26
1658698072,26
1658768579,26
1658788810,26
1658856123,26
1658878855,26
1658879061,26
1658965224,26
1659041771,26
1659049567,26
1659055044,26
