CODE,HMB302H1-F-20229-LEC-0101
CAP,250
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,25
1657659549,25
1657678570,25
1657700365,25
1657734871,26
1657736010,26
1657737663,26
1657744779,26
1657780708,26
1657815709,27
1657827433,27
1657841414,27
1657851506,27
1657853745,27
1657868013,27
1657911016,170
1657914736,170
1657938194,170
1657991875,173
1658011950,173
1658085371,173
1658086263,173
1658101142,173
1658101460,173
1658117879,173
1658120793,173
1658149259,174
1658163599,174
1658192570,174
1658255570,189
1658255771,189
1658265950,189
1658282790,189
1658284116,189
1658341001,192
1658425295,193
1658438086,193
1658446145,193
1658446771,193
1658459993,193
1658514122,193
1658536177,193
1658552496,193
1658614184,192
1658631640,192
1658698072,193
1658768579,193
1658788810,193
1658856123,193
1658878855,193
1658879061,193
1658965224,193
1659041771,193
1659049567,193
1659055044,193
1659106101,192
1659116089,192
1659126296,192
1659137072,192
1659154611,192
1659160554,192
1659197509,356
1659228141,356
1659229848,356
1659252431,356
1659298084,358
