CODE,HMB322H1-S-20229-LEC-0101
CAP,120
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,48
1657659562,48
1657678580,48
1657700377,48
1657734892,50
1657736031,50
1657737680,50
1657744796,50
1657780717,50
1657815723,52
1657827444,52
1657841424,52
1657851524,52
1657853756,52
1657868023,52
1657911025,184
1657914749,184
1657938204,184
1657991885,184
1658011963,184
1658085387,184
1658086283,184
1658101152,184
1658101473,184
1658117893,184
1658120808,184
1658149282,184
1658163609,184
1658192584,184
1658255580,187
1658255781,187
1658265969,187
1658282799,187
1658284132,187
1658341011,187
1658425310,186
1658438101,186
1658446157,186
1658446785,186
1658460004,186
1658514131,185
1658536189,185
1658552506,185
1658614194,183
1658631652,183
1658698082,185
1658768591,185
1658788819,185
1658856132,185
1658878866,185
1658879072,185
1658965232,185
1659041782,185
1659049575,185
1659055055,185
1659106110,183
1659116097,183
1659126308,183
1659137081,183
1659154622,183
1659160562,183
1659197518,177
1659228149,177
1659229856,177
1659252439,177
1659298092,178
