CODE,HMB430H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,9
1657560897,9
1657592482,9
1657598158,9
1657657520,41
1657659549,41
1657678570,41
1657700365,41
1657734871,41
1657736010,41
1657737663,41
1657744779,41
1657780708,41
1657815709,42
1657827433,42
1657841414,42
1657851506,42
1657853745,42
1657868013,42
1657911016,41
1657914736,41
1657938194,41
1657991875,41
1658011950,41
1658085371,41
1658086263,41
1658101142,41
1658101460,41
1658117879,41
1658120793,41
1658149259,41
1658163599,41
1658192570,41
1658255570,44
1658255771,44
1658265950,44
1658282790,44
1658284116,44
1658341001,44
1658425295,44
1658438086,44
1658446145,44
1658446771,44
1658459993,44
1658514122,44
1658536177,44
1658552496,44
1658614184,44
1658631640,44
1658698072,44
1658768579,44
1658788810,44
1658856123,44
1658878855,44
1658879061,44
