CODE,HPS205H1-S-20229-LEC-0101
CAP,100
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,8
1657827444,8
1657841424,8
1657851524,8
1657853756,8
1657868023,8
1657911025,23
1657914749,23
1657938204,23
1657991885,23
1658011963,23
1658085387,23
1658086283,23
1658101152,23
1658101473,23
1658117893,23
1658120808,23
1658149282,23
1658163609,23
1658192584,23
1658255580,32
1658255781,32
1658265969,32
1658282799,32
1658284132,32
1658341011,34
1658425310,34
1658438101,34
1658446157,34
1658446785,34
1658460004,34
1658514131,44
1658536189,44
1658552506,44
1658614194,46
1658631652,46
1658698082,45
1658768591,45
1658788819,45
1658856132,45
1658878866,45
1658879072,45
1658965232,45
1659041782,45
1659049575,45
1659055055,45
1659106110,45
1659116097,45
1659126308,45
1659137081,45
1659154622,45
1659160562,45
1659197518,47
1659228149,47
1659229856,47
1659252439,47
1659298092,49
