CODE,HPS319H1-F-20229-LEC-0101,HPS319H1-F-20229-LEC-2001
CAP,84,6
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,31,0
1657659549,31,0
1657678570,31,0
1657700365,31,0
1657734871,33,0
1657736010,33,0
1657737663,33,0
1657744779,33,0
1657780708,33,0
1657815709,35,8
1657827433,35,8
1657841414,35,8
1657851506,35,8
1657853745,35,8
1657868013,35,8
1657911016,62,8
1657914736,62,8
1657938194,62,8
1657991875,62,8
1658011950,62,8
1658085371,61,8
1658086263,61,8
1658101142,61,8
1658101460,61,8
1658117879,61,8
1658120793,61,8
1658149259,60,8
1658163599,60,8
1658192570,60,8
1658255570,69,8
1658255771,69,8
1658265950,69,8
1658282790,69,8
1658284116,69,8
1658341001,70,8
1658425295,70,8
1658438086,70,8
1658446145,70,8
1658446771,70,8
1658459993,70,8
1658514122,71,8
