CODE,HPS390H1-F-20229-LEC-0101
CAP,90
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,68
1657659549,68
1657678570,68
1657700365,68
1657734871,68
1657736010,68
1657737663,68
1657744779,68
1657780708,68
1657815709,75
1657827433,75
1657841414,75
1657851506,75
1657853745,75
1657868013,75
1657911016,123
1657914736,123
1657938194,123
1657991875,122
1658011950,122
1658085371,122
1658086263,122
1658101142,122
1658101460,122
1658117879,122
1658120793,122
1658149259,123
1658163599,123
1658192570,123
1658255570,135
1658255771,135
1658265950,135
1658282790,135
1658284116,135
1658341001,134
1658425295,136
1658438086,136
1658446145,136
1658446771,136
1658459993,136
1658514122,136
1658536177,136
1658552496,136
1658614184,136
1658631640,136
1658698072,137
1658768579,136
1658788810,136
1658856123,137
1658878855,137
1658879061,137
1658965224,137
1659041771,136
1659049567,136
1659055044,136
1659106101,134
1659116089,134
1659126296,134
1659137072,134
1659154611,134
1659160554,134
1659197509,131
1659228141,131
1659229848,131
1659252431,131
1659298084,131
