CODE,HST330H1-S-20229-LEC-0101,HST330H1-S-20229-LEC-2001
CAP,57,3
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,2,0
1657659562,2,0
1657678580,2,0
1657700377,2,0
1657734892,3,0
1657736031,3,0
1657737680,3,0
1657744796,3,0
1657780717,3,0
1657815723,3,0
1657827444,3,0
1657841424,3,0
1657851524,3,0
1657853756,3,0
1657868023,3,0
1657911025,12,0
1657914749,12,0
1657938204,12,0
1657991885,12,0
1658011963,12,0
1658085387,12,0
1658086283,12,0
1658101152,12,0
1658101473,12,0
1658117893,12,0
1658120808,12,0
1658149282,12,0
1658163609,12,0
1658192584,12,0
1658255580,15,0
1658255781,15,0
1658265969,15,0
1658282799,15,0
1658284132,15,0
1658341011,15,0
1658425310,15,0
1658438101,15,0
1658446157,15,0
1658446785,15,0
1658460004,15,0
1658514131,15,0
1658536189,15,0
1658552506,15,0
1658614194,15,0
1658631652,15,0
1658698082,15,0
1658768591,15,0
1658788819,15,0
1658856132,15,0
1658878866,15,0
1658879072,15,0
1658965232,14,0
1659041782,14,0
1659049575,14,0
1659055055,14,0
