CODE,IMM250H1-S-20229-LEC-0101
CAP,1200
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,112
1657659562,112
1657678580,112
1657700377,112
1657734892,112
1657736031,112
1657737680,112
1657744796,112
1657780717,112
1657815723,113
1657827444,113
1657841424,113
1657851524,113
1657853756,113
1657868023,113
1657911025,217
1657914749,217
1657938204,217
1657991885,212
1658011963,212
1658085387,214
1658086283,214
1658101152,214
1658101473,214
1658117893,214
1658120808,214
1658149282,217
1658163609,217
1658192584,217
1658255580,567
1658255781,567
1658265969,567
1658282799,567
1658284132,567
1658341011,576
1658425310,580
1658438101,580
1658446157,580
1658446785,580
1658460004,580
1658514131,731
1658536189,731
1658552506,731
1658614194,738
1658631652,738
1658698082,743
1658768591,747
1658788819,747
1658856132,751
1658878866,751
1658879072,751
1658965232,751
1659041782,753
1659049575,753
1659055055,753
