CODE,IRE240H1-F-20229-LEC-0101
CAP,120
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,5
1657659549,5
1657678570,5
1657700365,5
1657734871,5
1657736010,5
1657737663,5
1657744779,5
1657780708,5
1657815709,6
1657827433,6
1657841414,6
1657851506,6
1657853745,6
1657868013,6
1657911016,30
1657914736,30
1657938194,30
1657991875,30
1658011950,30
1658085371,30
1658086263,30
1658101142,30
1658101460,30
1658117879,30
1658120793,30
1658149259,30
1658163599,30
1658192570,30
1658255570,97
1658255771,97
1658265950,97
1658282790,97
1658284116,97
1658341001,99
1658425295,99
1658438086,99
1658446145,99
1658446771,99
1658459993,99
1658514122,100
1658536177,100
1658552496,100
1658614184,100
1658631640,100
1658698072,100
1658768579,101
1658788810,101
1658856123,102
1658878855,102
1658879061,102
1658965224,102
1659041771,102
1659049567,102
1659055044,102
