CODE,IRE260H1-F-20229-LEC-5101,IRE260H1-F-20229-LEC-5102
CAP,60,60
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,6
1657560897,0,6
1657592482,0,6
1657598158,0,6
1657657520,1,6
1657659549,1,6
1657678570,1,6
1657700365,1,6
1657734871,2,6
1657736010,2,6
1657737663,2,6
1657744779,2,6
1657780708,2,6
1657815709,2,6
1657827433,2,6
1657841414,2,6
1657851506,2,6
1657853745,2,6
1657868013,2,6
1657911016,11,11
1657914736,11,11
1657938194,11,11
1657991875,11,11
1658011950,11,11
1658085371,12,10
1658086263,12,10
1658101142,12,10
1658101460,12,10
1658117879,12,10
1658120793,12,10
1658149259,12,10
1658163599,12,10
1658192570,12,10
1658255570,35,19
1658255771,35,19
1658265950,35,19
1658282790,35,19
1658284116,35,19
1658341001,35,21
1658425295,35,21
1658438086,35,21
1658446145,35,21
1658446771,35,21
1658459993,35,21
1658514122,35,21
1658536177,35,21
1658552496,35,21
1658614184,37,23
1658631640,37,23
1658698072,39,23
1658768579,40,23
1658788810,40,23
1658856123,39,25
1658878855,39,25
1658879061,39,25
1658965224,39,25
1659041771,40,25
1659049567,40,25
1659055044,40,25
