CODE,IRE378H1-S-20229-LEC-5101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,19
1657659562,19
1657678580,19
1657700377,19
1657734892,20
1657736031,20
1657737680,20
1657744796,20
1657780717,20
1657815723,20
1657827444,20
1657841424,20
1657851524,20
1657853756,20
1657868023,20
1657911025,44
1657914749,44
1657938204,44
1657991885,46
1658011963,46
1658085387,46
1658086283,46
1658101152,46
1658101473,46
1658117893,46
1658120808,46
1658149282,46
1658163609,46
1658192584,46
1658255580,68
1658255781,68
1658265969,68
1658282799,68
1658284132,68
1658341011,69
1658425310,67
1658438101,67
1658446157,67
1658446785,67
1658460004,67
1658514131,68
1658536189,68
1658552506,68
1658614194,68
1658631652,68
1658698082,68
1658768591,68
1658788819,68
1658856132,70
1658878866,70
1658879072,70
1658965232,70
1659041782,70
1659049575,70
1659055055,70
