CODE,JAL355H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,46
1657659549,46
1657678570,46
1657700365,46
1657734871,47
1657736010,47
1657737663,47
1657744779,47
1657780708,47
1657815709,47
1657827433,47
1657841414,47
1657851506,47
1657853745,47
1657868013,47
1657911016,70
1657914736,70
1657938194,70
1657991875,71
1658011950,71
1658085371,71
1658086263,71
1658101142,71
1658101460,71
1658117879,71
1658120793,71
1658149259,71
1658163599,71
1658192570,71
1658255570,73
1658255771,73
1658265950,73
1658282790,73
1658284116,73
1658341001,72
1658425295,72
1658438086,72
1658446145,72
1658446771,72
1658459993,72
1658514122,72
1658536177,72
1658552496,72
1658614184,72
1658631640,72
1658698072,72
1658768579,72
1658788810,72
1658856123,73
1658878855,73
1658879061,73
