CODE,JGE321H1-S-20229-LEC-0101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,28
1657659562,28
1657678580,28
1657700377,28
1657734892,29
1657736031,29
1657737680,29
1657744796,29
1657780717,29
1657815723,28
1657827444,28
1657841424,28
1657851524,28
1657853756,28
1657868023,28
1657911025,73
1657914749,73
1657938204,73
1657991885,73
1658011963,73
1658085387,74
1658086283,74
1658101152,74
1658101473,74
1658117893,74
1658120808,74
1658149282,74
1658163609,74
1658192584,74
1658255580,83
1658255781,83
1658265969,83
1658282799,83
1658284132,83
1658341011,83
1658425310,84
1658438101,84
1658446157,84
1658446785,84
1658460004,84
1658514131,84
