CODE,JGU346H1-F-20229-LEC-0101
CAP,70
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,22
1657659549,22
1657678570,22
1657700365,22
1657734871,22
1657736010,22
1657737663,22
1657744779,22
1657780708,22
1657815709,23
1657827433,23
1657841414,23
1657851506,23
1657853745,23
1657868013,23
1657911016,52
1657914736,52
1657938194,52
1657991875,55
1658011950,55
1658085371,57
1658086263,57
1658101142,57
1658101460,57
1658117879,57
1658120793,57
1658149259,57
1658163599,57
1658192570,57
1658255570,64
1658255771,64
1658265950,64
1658282790,64
1658284116,64
1658341001,65
1658425295,66
1658438086,66
1658446145,66
1658446771,66
1658459993,66
1658514122,66
1658536177,66
1658552496,66
1658614184,67
1658631640,67
1658698072,67
1658768579,67
1658788810,67
1658856123,67
1658878855,67
1658879061,67
1658965224,67
1659041771,67
1659049567,67
1659055044,67
1659106101,66
1659116089,66
1659126296,66
1659137072,66
1659154611,66
1659160554,66
1659197509,74
1659228141,74
1659229848,74
1659252431,74
1659298084,76
