CODE,JHA384H1-S-20229-LEC-5101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,20
1657659562,20
1657678580,20
1657700377,20
1657734892,20
1657736031,20
1657737680,20
1657744796,20
1657780717,20
1657815723,21
1657827444,21
1657841424,21
1657851524,21
1657853756,21
1657868023,21
1657911025,48
1657914749,48
1657938204,48
1657991885,48
1658011963,48
1658085387,48
1658086283,48
1658101152,48
1658101473,48
1658117893,48
1658120808,48
1658149282,48
1658163609,48
1658192584,48
1658255580,52
1658255781,52
1658265969,52
1658282799,52
1658284132,52
1658341011,52
1658425310,52
1658438101,52
1658446157,52
1658446785,52
1658460004,52
1658514131,53
1658536189,53
1658552506,53
1658614194,53
1658631652,53
1658698082,53
1658768591,53
1658788819,53
1658856132,54
1658878866,54
1658879072,54
1658965232,54
1659041782,54
1659049575,54
1659055055,54
1659106110,54
1659116097,54
1659126308,54
1659137081,54
1659154622,54
1659160562,54
1659197518,52
1659228149,52
1659229856,52
1659252439,52
1659298092,53
