CODE,JLP374H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,32
1657659549,32
1657678570,32
1657700365,32
1657734871,33
1657736010,33
1657737663,33
1657744779,33
1657780708,33
1657815709,33
1657827433,33
1657841414,33
1657851506,33
1657853745,33
1657868013,33
1657911016,80
1657914736,80
1657938194,80
1657991875,81
1658011950,81
1658085371,81
1658086263,81
1658101142,81
1658101460,81
1658117879,81
1658120793,81
1658149259,80
1658163599,80
1658192570,80
1658255570,87
1658255771,87
1658265950,87
1658282790,87
1658284116,87
1658341001,88
1658425295,88
1658438086,88
1658446145,88
1658446771,88
1658459993,88
1658514122,89
1658536177,89
1658552496,89
1658614184,89
1658631640,89
1658698072,90
1658768579,91
1658788810,91
1658856123,92
1658878855,92
1658879061,92
1658965224,93
1659041771,93
1659049567,93
1659055044,93
1659106101,93
1659116089,93
1659126296,93
1659137072,93
1659154611,93
1659160554,93
1659197509,101
1659228141,101
1659229848,101
1659252431,101
1659298084,102
