CODE,JLS473H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,18
1657659562,18
1657678580,18
1657700377,18
1657734892,18
1657736031,18
1657737680,18
1657744796,18
1657780717,18
1657815723,18
1657827444,18
1657841424,18
1657851524,18
1657853756,18
1657868023,18
1657911025,29
1657914749,29
1657938204,29
1657991885,29
1658011963,29
1658085387,29
1658086283,29
1658101152,29
1658101473,29
1658117893,29
1658120808,29
1658149282,30
1658163609,30
1658192584,30
1658255580,30
1658255781,30
1658265969,30
1658282799,30
1658284132,30
1658341011,30
1658425310,30
1658438101,30
1658446157,30
1658446785,30
1658460004,30
1658514131,31
1658536189,31
1658552506,31
1658614194,31
1658631652,31
1658698082,31
1658768591,31
1658788819,31
1658856132,31
1658878866,31
1658879072,31
1658965232,31
1659041782,32
1659049575,32
1659055055,32
1659106110,32
1659116097,32
1659126308,32
1659137081,32
1659154622,32
1659160562,32
1659197518,35
1659228149,35
1659229856,35
1659252439,35
1659298092,35
