CODE,JPM400Y1-Y-20229-LEC-0101
CAP,30
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,12
1657659552,12
1657678573,12
1657700368,12
1657734875,13
1657736016,13
1657737668,13
1657744785,13
1657780710,13
1657815712,14
1657827436,14
1657841417,14
1657851515,14
1657853748,14
1657868016,14
1657911019,14
1657914739,14
1657938197,14
1657991877,14
1658011954,14
1658085375,14
1658086268,14
1658101144,14
1658101464,14
1658117882,14
1658120797,14
1658149266,14
1658163601,14
1658192573,14
1658255573,14
1658255774,14
1658265957,14
1658282792,14
1658284123,14
1658341004,14
1658425299,14
1658438090,14
1658446148,14
1658446775,14
1658459996,14
1658514124,14
1658536180,14
1658552499,14
1658614187,14
1658631643,14
1658698075,14
1658768582,14
1658788813,14
1658856126,14
1658878858,14
1658879064,14
