CODE,JPR374H1-F-20229-LEC-5101
CAP,70
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,34
1657659549,34
1657678570,34
1657700365,34
1657734871,36
1657736010,36
1657737663,36
1657744779,36
1657780708,36
1657815709,38
1657827433,38
1657841414,38
1657851506,38
1657853745,38
1657868013,38
1657911016,86
1657914736,86
1657938194,86
1657991875,88
1658011950,88
1658085371,88
1658086263,88
1658101142,88
1658101460,88
1658117879,88
1658120793,88
1658149259,89
1658163599,89
1658192570,89
1658255570,93
1658255771,93
1658265950,93
1658282790,93
1658284116,93
1658341001,93
1658425295,93
1658438086,93
1658446145,93
1658446771,93
1658459993,93
1658514122,92
