CODE,JPS315H1-S-20229-LEC-0101
CAP,70
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,32
1657659562,32
1657678580,32
1657700377,32
1657734892,29
1657736031,29
1657737680,29
1657744796,29
1657780717,29
1657815723,30
1657827444,30
1657841424,30
1657851524,30
1657853756,30
1657868023,30
1657911025,71
1657914749,71
1657938204,71
1657991885,72
1658011963,72
1658085387,72
1658086283,72
1658101152,72
1658101473,72
1658117893,72
1658120808,72
1658149282,73
1658163609,73
1658192584,73
1658255580,84
1658255781,84
1658265969,84
1658282799,84
1658284132,84
1658341011,84
1658425310,85
1658438101,85
1658446157,85
1658446785,85
1658460004,85
1658514131,83
1658536189,83
1658552506,83
1658614194,83
1658631652,83
1658698082,83
1658768591,83
1658788819,83
1658856132,83
1658878866,83
1658879072,83
