CODE,LAS200H1-F-20229-LEC-0101
CAP,48
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,5
1657659549,5
1657678570,5
1657700365,5
1657734871,5
1657736010,5
1657737663,5
1657744779,5
1657780708,5
1657815709,5
1657827433,5
1657841414,5
1657851506,5
1657853745,5
1657868013,5
1657911016,9
1657914736,9
1657938194,9
1657991875,9
1658011950,9
1658085371,9
1658086263,9
1658101142,9
1658101460,9
1658117879,9
1658120793,9
1658149259,10
1658163599,10
1658192570,10
1658255570,28
1658255771,28
1658265950,28
1658282790,28
1658284116,28
1658341001,27
1658425295,27
1658438086,27
1658446145,27
1658446771,27
1658459993,27
1658514122,31
1658536177,31
1658552496,31
1658614184,32
1658631640,32
1658698072,32
1658768579,33
1658788810,33
1658856123,33
1658878855,33
1658879061,33
1658965224,33
1659041771,33
1659049567,33
1659055044,33
1659106101,33
1659116089,33
1659126296,33
1659137072,33
1659154611,33
1659160554,33
1659197509,31
1659228141,31
1659229848,31
1659252431,31
1659298084,32
