CODE,LAT101H1-F-20229-LEC-0101,LAT101H1-F-20229-LEC-0201,LAT101H1-F-20229-LEC-0301,LAT101H1-F-20229-LEC-0401,LAT101H1-F-20229-LEC-0501
CAP,35,35,35,35,35
1656647689,0,0,0,0,0
1656655656,0,0,0,0,0
1656693722,0,0,0,0,0
1656799543,0,0,0,0,0
1657039029,0,0,0,0,0
1657124783,0,0,0,0,0
1657129900,0,0,0,0,0
1657154826,0,0,0,0,0
1657154927,0,0,0,0,0
1657157137,0,0,0,0,0
1657169424,0,0,0,0,0
1657171604,0,0,0,0,0
1657208564,0,0,0,0,0
1657224150,0,0,0,0,0
1657394888,0,0,0,0,0
1657522639,0,0,0,0,0
1657560897,0,0,0,0,0
1657592482,0,0,0,0,0
1657598158,0,0,0,0,0
1657657520,1,2,0,4,1
1657659549,1,2,0,4,1
1657678570,1,2,0,4,1
1657700365,1,2,0,4,1
1657734871,1,2,0,4,2
1657736010,1,2,0,4,2
1657737663,1,2,0,4,2
1657744779,1,2,0,4,2
1657780708,1,2,0,4,2
1657815709,1,2,0,4,2
1657827433,1,2,0,4,2
1657841414,1,2,0,4,2
1657851506,1,2,0,4,2
1657853745,1,2,0,4,2
1657868013,1,2,0,4,2
1657911016,2,2,3,5,2
1657914736,2,2,3,5,2
1657938194,2,2,3,5,2
1657991875,2,2,3,7,2
1658011950,2,2,3,7,2
1658085371,2,2,3,7,2
1658086263,2,2,3,7,2
1658101142,2,2,3,7,2
1658101460,2,2,3,7,2
1658117879,2,2,3,7,2
1658120793,2,2,3,7,2
1658149259,2,2,3,7,2
1658163599,2,2,3,7,2
1658192570,2,2,3,7,2
1658255570,7,5,7,8,2
1658255771,7,5,7,8,2
1658265950,7,5,7,8,2
1658282790,7,5,7,8,2
1658284116,7,5,7,8,2
1658341001,7,6,7,8,2
1658425295,7,6,7,8,2
1658438086,7,6,7,8,2
1658446145,7,6,7,8,2
1658446771,7,6,7,8,2
1658459993,7,6,7,8,2
1658514122,18,13,15,20,6
1658536177,18,13,15,20,6
1658552496,18,13,15,20,6
1658614184,19,13,14,21,8
1658631640,19,13,14,21,8
1658698072,19,13,15,21,8
1658768579,19,12,15,22,8
1658788810,19,12,15,22,8
1658856123,19,12,15,21,9
1658878855,19,12,15,21,9
1658879061,19,12,15,21,9
1658965224,19,12,16,21,9
1659041771,19,12,16,21,8
1659049567,19,12,16,21,8
1659055044,19,12,16,21,8
1659106101,19,12,16,21,8
1659116089,19,12,16,21,8
1659126296,19,12,16,21,8
1659137072,19,12,16,21,8
1659154611,19,12,16,21,8
1659160554,19,12,16,21,8
1659197509,22,13,17,24,10
1659228141,22,13,17,24,10
1659229848,22,13,17,24,10
1659252431,22,13,17,24,10
1659298084,23,14,17,23,10
