CODE,LAT202H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,2
1657659562,2
1657678580,2
1657700377,2
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,1
1657827444,1
1657841424,1
1657851524,1
1657853756,1
1657868023,1
1657911025,7
1657914749,7
1657938204,7
1657991885,7
1658011963,7
1658085387,8
1658086283,8
1658101152,8
1658101473,8
1658117893,8
1658120808,8
1658149282,8
1658163609,8
1658192584,8
1658255580,12
1658255781,12
1658265969,12
1658282799,12
1658284132,12
1658341011,11
1658425310,11
1658438101,11
1658446157,11
1658446785,11
1658460004,11
1658514131,13
1658536189,13
1658552506,13
1658614194,13
1658631652,13
1658698082,13
1658768591,13
1658788819,13
1658856132,13
1658878866,13
1658879072,13
1658965232,13
1659041782,13
1659049575,13
1659055055,13
1659106110,13
1659116097,13
1659126308,13
1659137081,13
1659154622,13
1659160562,13
1659197518,13
1659228149,13
1659229856,13
1659252439,13
1659298092,13
