CODE,LIN229H1-S-20229-LEC-0101
CAP,140
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,4
1657659562,4
1657678580,4
1657700377,4
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,13
1657914749,13
1657938204,13
1657991885,14
1658011963,14
1658085387,13
1658086283,13
1658101152,13
1658101473,13
1658117893,13
1658120808,13
1658149282,13
1658163609,13
1658192584,13
1658255580,72
1658255781,72
1658265969,72
1658282799,72
1658284132,72
1658341011,72
1658425310,73
1658438101,73
1658446157,73
1658446785,73
1658460004,73
1658514131,80
