CODE,LIN241H1-F-20229-LEC-0101
CAP,140
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,6
1657659549,6
1657678570,6
1657700365,6
1657734871,6
1657736010,6
1657737663,6
1657744779,6
1657780708,6
1657815709,7
1657827433,7
1657841414,7
1657851506,7
1657853745,7
1657868013,7
1657911016,25
1657914736,25
1657938194,25
1657991875,25
1658011950,25
1658085371,25
1658086263,25
1658101142,25
1658101460,25
1658117879,25
1658120793,25
1658149259,25
1658163599,25
1658192570,25
1658255570,76
1658255771,76
1658265950,76
1658282790,76
1658284116,76
1658341001,77
1658425295,78
1658438086,78
1658446145,78
1658446771,78
1658459993,78
1658514122,81
1658536177,81
1658552496,81
1658614184,81
1658631640,81
1658698072,81
1658768579,81
1658788810,81
1658856123,81
1658878855,81
1658879061,81
1658965224,81
1659041771,83
1659049567,83
1659055044,83
1659106101,83
1659116089,83
1659126296,83
1659137072,83
1659154611,83
1659160554,83
1659197509,94
1659228141,94
1659229848,94
1659252431,94
1659298084,93
