CODE,MAT137Y1-Y-20229-LEC-0101,MAT137Y1-Y-20229-LEC-0102,MAT137Y1-Y-20229-LEC-0201,MAT137Y1-Y-20229-LEC-0301,MAT137Y1-Y-20229-LEC-0401,MAT137Y1-Y-20229-LEC-0501,MAT137Y1-Y-20229-LEC-0601,MAT137Y1-Y-20229-LEC-0701,MAT137Y1-Y-20229-LEC-5101
CAP,195,195,220,205,222,195,220,0,220
1656647691,0,0,0,0,0,0,0,0,0
1656655658,0,0,0,0,0,0,0,0,0
1656693725,0,0,0,0,0,0,0,0,0
1656799545,0,0,0,0,0,0,0,0,0
1657039032,0,0,0,0,0,0,0,0,0
1657124785,0,0,0,0,0,0,0,0,0
1657129902,0,0,0,0,0,0,0,0,0
1657154828,0,0,0,0,0,0,0,0,0
1657154929,0,0,0,0,0,0,0,0,0
1657157139,0,0,0,0,0,0,0,0,0
1657169427,0,0,0,0,0,0,0,0,0
1657171607,0,0,0,0,0,0,0,0,0
1657208567,0,0,0,0,0,0,0,0,0
1657224152,0,0,0,0,0,0,0,0,0
1657394890,0,0,0,0,0,0,0,0,0
1657522642,0,0,0,0,0,0,0,0,0
1657560899,0,0,0,0,0,0,0,0,0
1657592485,0,0,0,0,0,0,0,0,0
1657598160,0,0,0,0,0,0,0,0,0
1657657525,0,0,0,0,0,0,0,0,0
1657659552,0,0,0,0,0,0,0,0,0
1657678573,0,0,0,0,0,0,0,0,0
1657700368,0,0,0,0,0,0,0,0,0
1657734875,0,0,0,0,0,0,0,0,0
1657736016,0,0,0,0,0,0,0,0,0
1657737668,0,0,0,0,0,0,0,0,0
1657744785,0,0,0,0,0,0,0,0,0
1657780710,0,0,0,0,0,0,0,0,0
1657815712,0,0,0,0,0,0,0,0,0
1657827436,0,0,0,0,0,0,0,0,0
1657841417,0,0,0,0,0,0,0,0,0
1657851515,0,0,0,0,0,0,0,0,0
1657853748,0,0,0,0,0,0,0,0,0
1657868016,0,0,0,0,0,0,0,0,0
1657911019,0,0,0,1,0,0,0,0,0
1657914739,0,0,0,1,0,0,0,0,0
1657938197,0,0,0,1,0,0,0,0,0
1657991877,0,0,0,1,0,0,0,0,0
1658011954,0,0,0,1,0,0,0,0,0
1658085375,0,0,0,1,0,0,0,0,0
1658086268,0,0,0,1,0,0,0,0,0
1658101144,0,0,0,1,0,0,0,0,0
1658101464,0,0,0,1,0,0,0,0,0
1658117882,0,0,0,1,0,0,0,0,0
1658120797,0,0,0,1,0,0,0,0,0
1658149266,0,0,0,1,0,0,0,0,0
1658163601,0,0,0,1,0,0,0,0,0
1658192573,0,0,0,1,0,0,0,0,0
1658255573,7,2,1,39,0,77,3,0,1
1658255774,7,2,1,39,0,77,3,0,1
1658265957,7,2,1,39,0,77,3,0,1
1658282792,7,2,1,39,0,77,3,0,1
1658284123,7,2,1,39,0,77,3,0,1
1658341004,7,2,2,36,0,70,3,0,1
1658425299,7,2,2,33,0,67,3,0,1
1658438090,7,2,2,33,0,67,3,0,1
1658446148,7,2,2,33,0,67,3,0,1
1658446775,7,2,2,33,0,67,3,0,1
1658459996,7,2,2,33,0,67,3,0,1
1658514124,218,117,59,146,98,175,249,0,50
1658536180,218,117,59,146,98,175,249,0,50
1658552499,218,117,59,146,98,175,249,0,50
1658614187,217,121,59,147,98,179,245,0,51
1658631643,217,121,59,147,98,179,245,0,51
1658698075,216,123,60,145,100,179,246,0,52
1658768582,217,122,59,148,102,179,246,0,52
1658788813,217,122,59,148,102,179,246,0,52
1658856126,217,123,60,148,103,180,245,0,53
1658878858,217,123,60,148,103,180,245,0,53
1658879064,217,123,60,148,103,180,245,0,53
1658965226,217,126,59,149,106,181,244,0,54
1659041774,215,125,60,149,108,182,244,0,53
1659049569,215,125,60,149,108,182,244,0,53
1659055046,215,125,60,149,108,182,244,0,53
1659106104,215,125,60,148,108,182,244,0,52
1659116092,215,125,60,148,108,182,244,0,52
1659126300,215,125,60,148,108,182,244,0,52
1659137075,215,125,60,148,108,182,244,0,52
1659154614,215,125,60,148,108,182,244,0,52
1659160556,215,125,60,148,108,182,244,0,52
1659197512,224,204,131,207,199,207,264,0,141
1659228143,224,204,131,207,199,207,264,0,141
1659229850,224,204,131,207,199,207,264,0,141
1659252433,224,204,131,207,199,207,264,0,141
1659298086,223,202,133,208,207,208,262,0,151
