CODE,MAT223H1-S-20229-LEC-0101,MAT223H1-S-20229-LEC-0201,MAT223H1-S-20229-LEC-0301,MAT223H1-S-20229-LEC-0401,MAT223H1-S-20229-LEC-5101
CAP,195,195,195,195,195
1656647697,0,0,0,0,0
1656655667,0,0,0,0,0
1656693731,0,0,0,0,0
1656799552,0,0,0,0,0
1657039041,0,0,0,0,0
1657124791,0,0,0,0,0
1657129909,0,0,0,0,0
1657154834,0,0,0,0,0
1657154935,0,0,0,0,0
1657157146,0,0,0,0,0
1657169433,0,0,0,0,0
1657171616,0,0,0,0,0
1657208573,0,0,0,0,0
1657224158,0,0,0,0,0
1657394896,0,0,0,0,0
1657522648,0,0,1,0,1
1657560905,0,0,1,0,1
1657592491,0,0,1,0,1
1657598166,0,0,1,0,1
1657657537,0,0,1,0,1
1657659562,0,0,1,0,1
1657678580,0,0,1,0,1
1657700377,0,0,1,0,1
1657734892,0,0,1,0,1
1657736031,0,0,1,0,1
1657737680,0,0,1,0,1
1657744796,0,0,1,0,1
1657780717,0,0,1,0,1
1657815723,0,0,1,0,1
1657827444,0,0,1,0,1
1657841424,0,0,1,0,1
1657851524,0,0,1,0,1
1657853756,0,0,1,0,1
1657868023,0,0,1,0,1
1657911025,0,0,1,0,1
1657914749,0,0,1,0,1
1657938204,0,0,1,0,1
1657991885,0,0,1,0,1
1658011963,0,0,1,0,1
1658085387,0,0,1,0,1
1658086283,0,0,1,0,1
1658101152,0,0,1,0,1
1658101473,0,0,1,0,1
1658117893,0,0,1,0,1
1658120808,0,0,1,0,1
1658149282,0,0,1,0,1
1658163609,0,0,1,0,1
1658192584,0,0,1,0,1
1658255580,0,0,1,0,1
1658255781,0,0,1,0,1
1658265969,0,0,1,0,1
1658282799,0,0,1,0,1
1658284132,0,0,1,0,1
1658341011,0,0,1,0,1
1658425310,0,0,1,0,1
1658438101,0,0,1,0,1
1658446157,0,0,1,0,1
1658446785,0,0,1,0,1
1658460004,0,0,1,0,1
1658514131,68,165,31,57,22
1658536189,68,165,31,57,22
1658552506,68,165,31,57,22
1658614194,67,164,32,54,23
1658631652,67,164,32,54,23
1658698082,67,164,32,54,22
1658768591,67,164,32,54,22
1658788819,67,164,32,54,22
1658856132,67,166,31,54,22
1658878866,67,166,31,54,22
1658879072,67,166,31,54,22
