CODE,MAT235Y1-Y-20229-LEC-0101,MAT235Y1-Y-20229-LEC-0201,MAT235Y1-Y-20229-LEC-0301,MAT235Y1-Y-20229-LEC-0401,MAT235Y1-Y-20229-LEC-0501,MAT235Y1-Y-20229-LEC-0601,MAT235Y1-Y-20229-LEC-0701,MAT235Y1-Y-20229-LEC-5101
CAP,150,150,150,150,150,150,150,150
1656647691,0,0,0,0,0,0,0,0
1656655658,0,0,0,0,0,0,0,0
1656693725,0,0,0,0,0,0,0,0
1656799545,0,0,0,0,0,0,0,0
1657039032,0,0,0,0,0,0,0,0
1657124785,0,0,0,0,0,0,0,0
1657129902,0,0,0,0,0,0,0,0
1657154828,0,0,0,0,0,0,0,0
1657154929,0,0,0,0,0,0,0,0
1657157139,0,0,0,0,0,0,0,0
1657169427,0,0,0,0,0,0,0,0
1657171607,0,0,0,0,0,0,0,0
1657208567,0,0,0,0,0,0,0,0
1657224152,0,0,0,0,0,0,0,0
1657394890,0,0,0,0,0,0,0,0
1657522642,0,0,0,0,0,0,0,0
1657560899,0,0,0,0,0,0,0,0
1657592485,0,0,0,0,0,0,0,0
1657598160,0,0,0,0,0,0,0,0
1657657525,6,0,2,5,6,1,1,4
1657659552,6,0,2,5,6,1,1,4
1657678573,6,0,2,5,6,1,1,4
1657700368,6,0,2,5,6,1,1,4
1657734875,6,0,2,5,6,1,1,4
1657736016,6,0,2,5,6,1,1,4
1657737668,6,0,2,5,6,1,1,4
1657744785,6,0,2,5,6,1,1,4
1657780710,6,0,2,5,6,1,1,4
1657815712,7,0,2,5,6,1,1,5
1657827436,7,0,2,5,6,1,1,5
1657841417,7,0,2,5,6,1,1,5
1657851515,7,0,2,5,6,1,1,5
1657853748,7,0,2,5,6,1,1,5
1657868016,7,0,2,5,6,1,1,5
1657911019,47,24,26,23,27,11,11,19
1657914739,47,24,26,23,27,11,11,19
1657938197,47,24,26,23,27,11,11,19
1657991877,47,24,27,23,27,12,12,20
1658011954,47,24,27,23,27,12,12,20
1658085375,46,24,27,24,30,13,12,20
1658086268,46,24,27,24,30,13,12,20
1658101144,46,24,27,24,30,13,12,20
1658101464,46,24,27,24,30,13,12,20
1658117882,46,24,27,24,30,13,12,20
1658120797,46,24,27,24,30,13,12,20
1658149266,47,24,26,25,31,13,12,21
1658163601,47,24,26,25,31,13,12,21
1658192573,47,24,26,25,31,13,12,21
1658255573,166,151,158,154,155,151,100,75
1658255774,166,151,158,154,155,151,100,75
1658265957,166,151,158,154,155,151,100,75
1658282792,166,151,158,154,155,151,100,75
1658284123,166,151,158,154,155,151,100,75
1658341004,166,152,158,155,156,150,113,76
1658425299,165,153,158,155,156,150,115,76
1658438090,165,153,158,155,156,150,115,76
1658446148,165,153,158,155,156,150,115,76
1658446775,165,153,158,155,156,150,115,76
1658459996,165,153,158,155,156,150,115,76
1658514124,166,155,160,157,156,151,134,80
1658536180,166,155,160,157,156,151,134,80
1658552499,166,155,160,157,156,151,134,80
1658614187,166,155,159,157,156,151,138,81
1658631643,166,155,159,157,156,151,138,81
1658698075,166,155,159,157,156,151,140,82
1658768582,165,155,161,157,156,150,140,82
1658788813,165,155,161,157,156,150,140,82
1658856126,166,154,160,157,156,150,140,83
1658878858,166,154,160,157,156,150,140,83
1658879064,166,154,160,157,156,150,140,83
1658965226,165,152,157,156,155,151,142,85
1659041774,165,152,157,156,156,152,145,89
1659049569,165,152,157,156,156,152,145,89
1659055046,165,152,157,156,156,152,145,89
1659106104,164,151,157,153,154,152,147,89
1659116092,164,151,157,153,154,152,147,89
1659126300,164,151,157,153,154,152,147,89
1659137075,164,151,157,153,154,152,147,89
1659154614,164,151,157,153,154,152,147,89
1659160556,164,151,157,153,154,152,147,89
1659197512,164,154,165,158,157,156,161,127
1659228143,164,154,165,158,157,156,161,127
1659229850,164,154,165,158,157,156,161,127
1659252433,164,154,165,158,157,156,161,127
1659298086,164,157,165,157,158,155,159,131
