CODE,MAT244H1-F-20229-LEC-0101,MAT244H1-F-20229-LEC-0201,MAT244H1-F-20229-LEC-5101
CAP,220,196,188
1656647689,0,0,0
1656655656,0,0,0
1656693722,0,0,0
1656799543,0,0,0
1657039029,0,0,0
1657124783,0,0,0
1657129900,0,0,0
1657154826,0,0,0
1657154927,0,0,0
1657157137,0,0,0
1657169424,0,0,0
1657171604,0,0,0
1657208564,0,0,0
1657224150,0,0,0
1657394888,0,0,0
1657522639,3,0,0
1657560897,3,0,0
1657592482,3,0,0
1657598158,3,0,0
1657657520,15,15,8
1657659549,15,15,8
1657678570,15,15,8
1657700365,15,15,8
1657734871,15,17,6
1657736010,15,17,6
1657737663,15,17,6
1657744779,15,17,6
1657780708,15,17,6
1657815709,15,19,7
1657827433,15,19,7
1657841414,15,19,7
1657851506,15,19,7
1657853745,15,19,7
1657868013,15,19,7
1657911016,73,67,27
1657914736,73,67,27
1657938194,73,67,27
1657991875,73,68,26
1658011950,73,68,26
1658085371,73,69,27
1658086263,73,69,27
1658101142,73,69,27
1658101460,73,69,27
1658117879,73,69,27
1658120793,73,69,27
1658149259,72,70,26
1658163599,72,70,26
1658192570,72,70,26
1658255570,238,211,128
1658255771,238,211,128
1658265950,238,211,128
1658282790,238,211,128
1658284116,238,211,128
1658341001,238,212,133
1658425295,240,213,137
1658438086,240,213,137
1658446145,240,213,137
1658446771,240,213,137
1658459993,240,213,137
1658514122,242,213,148
1658536177,242,213,148
1658552496,242,213,148
1658614184,241,214,149
1658631640,241,214,149
1658698072,241,213,149
1658768579,243,215,149
1658788810,243,215,149
1658856123,243,215,150
1658878855,243,215,150
1658879061,243,215,150
1658965224,232,211,149
1659041771,233,210,142
1659049567,233,210,142
1659055044,233,210,142
