CODE,MAT334H1-S-20229-LEC-0101,MAT334H1-S-20229-LEC-5101
CAP,195,188
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,27,16
1657659562,27,16
1657678580,27,16
1657700377,27,16
1657734892,31,17
1657736031,31,17
1657737680,31,17
1657744796,31,17
1657780717,31,17
1657815723,31,18
1657827444,31,18
1657841424,31,18
1657851524,31,18
1657853756,31,18
1657868023,31,18
1657911025,106,79
1657914749,106,79
1657938204,106,79
1657991885,106,79
1658011963,106,79
1658085387,106,78
1658086283,106,78
1658101152,106,78
1658101473,106,78
1658117893,106,78
1658120808,106,78
1658149282,106,77
1658163609,106,77
1658192584,106,77
1658255580,124,102
1658255781,124,102
1658265969,124,102
1658282799,124,102
1658284132,124,102
1658341011,126,102
1658425310,123,103
1658438101,123,103
1658446157,123,103
1658446785,123,103
1658460004,123,103
1658514131,123,100
1658536189,123,100
1658552506,123,100
1658614194,123,101
1658631652,123,101
1658698082,122,102
1658768591,122,102
1658788819,122,102
1658856132,123,102
1658878866,123,102
1658879072,123,102
1658965232,123,105
1659041782,124,106
1659049575,124,106
1659055055,124,106
1659106110,123,106
1659116097,123,106
1659126308,123,106
1659137081,123,106
1659154622,123,106
1659160562,123,106
1659197518,124,110
1659228149,124,110
1659229856,124,110
1659252439,124,110
1659298092,124,109
