CODE,MAT344H1-F-20229-LEC-0101,MAT344H1-F-20229-LEC-0201
CAP,188,100
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,1,0
1657560897,1,0
1657592482,1,0
1657598158,1,0
1657657520,44,45
1657659549,44,45
1657678570,44,45
1657700365,44,45
1657734871,47,49
1657736010,47,49
1657737663,47,49
1657744779,47,49
1657780708,47,49
1657815709,47,49
1657827433,47,49
1657841414,47,49
1657851506,47,49
1657853745,47,49
1657868013,47,49
1657911016,82,100
1657914736,82,100
1657938194,82,100
1657991875,83,101
1658011950,83,101
1658085371,84,100
1658086263,84,100
1658101142,84,100
1658101460,84,100
1658117879,84,100
1658120793,84,100
1658149259,85,100
1658163599,85,100
1658192570,85,100
1658255570,112,122
1658255771,112,122
1658265950,112,122
1658282790,112,122
1658284116,112,122
1658341001,115,120
1658425295,115,117
1658438086,115,117
1658446145,115,117
1658446771,115,117
1658459993,115,117
1658514122,119,119
1658536177,119,119
1658552496,119,119
1658614184,117,120
1658631640,117,120
1658698072,118,119
1658768579,120,120
1658788810,120,120
1658856123,121,120
1658878855,121,120
1658879061,121,120
1658965224,121,120
1659041771,122,120
1659049567,122,120
1659055044,122,120
1659106101,122,120
1659116089,122,120
1659126296,122,120
1659137072,122,120
1659154611,122,120
1659160554,122,120
1659197509,133,120
1659228141,133,120
1659229848,133,120
1659252431,133,120
1659298084,132,119
