CODE,MCS223H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,2
1657659562,2
1657678580,2
1657700377,2
1657734892,2
1657736031,2
1657737680,2
1657744796,2
1657780717,2
1657815723,2
1657827444,2
1657841424,2
1657851524,2
1657853756,2
1657868023,2
1657911025,6
1657914749,6
1657938204,6
1657991885,6
1658011963,6
1658085387,6
1658086283,6
1658101152,6
1658101473,6
1658117893,6
1658120808,6
1658149282,6
1658163609,6
1658192584,6
1658255580,19
1658255781,19
1658265969,19
1658282799,19
1658284132,19
1658341011,19
1658425310,19
1658438101,19
1658446157,19
1658446785,19
1658460004,19
1658514131,20
1658536189,20
1658552506,20
1658614194,20
1658631652,20
1658698082,20
1658768591,20
1658788819,20
1658856132,20
1658878866,20
1658879072,20
1658965232,20
1659041782,20
1659049575,20
1659055055,20
1659106110,20
1659116097,20
1659126308,20
1659137081,20
1659154622,20
1659160562,20
1659197518,40
1659228149,40
1659229856,40
1659252439,40
1659298092,40
