CODE,MGT230H1-S-20229-LEC-0101
CAP,350
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,23
1657659562,23
1657678580,23
1657700377,23
1657734892,23
1657736031,23
1657737680,23
1657744796,23
1657780717,23
1657815723,24
1657827444,24
1657841424,24
1657851524,24
1657853756,24
1657868023,24
1657911025,88
1657914749,88
1657938204,88
1657991885,88
1658011963,88
1658085387,90
1658086283,90
1658101152,90
1658101473,90
1658117893,90
1658120808,90
1658149282,90
1658163609,90
1658192584,90
1658255580,173
1658255781,173
1658265969,173
1658282799,173
1658284132,173
1658341011,178
1658425310,177
1658438101,177
1658446157,177
1658446785,177
1658460004,177
1658514131,214
1658536189,214
1658552506,214
1658614194,216
1658631652,216
1658698082,215
1658768591,215
1658788819,215
1658856132,215
1658878866,215
1658879072,215
