CODE,MGT250H1-F-20229-LEC-0101
CAP,300
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,17
1657659549,17
1657678570,17
1657700365,17
1657734871,17
1657736010,17
1657737663,17
1657744779,17
1657780708,17
1657815709,17
1657827433,17
1657841414,17
1657851506,17
1657853745,17
1657868013,17
1657911016,40
1657914736,40
1657938194,40
1657991875,40
1658011950,40
1658085371,40
1658086263,40
1658101142,40
1658101460,40
1658117879,40
1658120793,40
1658149259,40
1658163599,40
1658192570,40
1658255570,90
1658255771,90
1658265950,90
1658282790,90
1658284116,90
1658341001,93
1658425295,93
1658438086,93
1658446145,93
1658446771,93
1658459993,93
1658514122,110
1658536177,110
1658552496,110
1658614184,110
1658631640,110
1658698072,110
1658768579,111
1658788810,111
1658856123,111
1658878855,111
1658879061,111
1658965224,104
1659041771,100
1659049567,100
1659055044,100
1659106101,94
1659116089,94
1659126296,94
1659137072,94
1659154611,94
1659160554,94
1659197509,105
1659228141,105
1659229848,105
1659252431,105
1659298084,109
