CODE,MGY315H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,8
1657659562,8
1657678580,8
1657700377,8
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,7
1657827444,7
1657841424,7
1657851524,7
1657853756,7
1657868023,7
1657911025,36
1657914749,36
1657938204,36
1657991885,37
1658011963,37
1658085387,37
1658086283,37
1658101152,37
1658101473,37
1658117893,37
1658120808,37
1658149282,37
1658163609,37
1658192584,37
1658255580,38
1658255781,38
1658265969,38
1658282799,38
1658284132,38
1658341011,38
1658425310,38
1658438101,38
1658446157,38
1658446785,38
1658460004,38
1658514131,38
1658536189,38
1658552506,38
1658614194,38
1658631652,38
1658698082,38
1658768591,38
1658788819,38
1658856132,38
1658878866,38
1658879072,38
