CODE,MGY378H1-S-20229-LEC-0101
CAP,196
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,36
1657659562,36
1657678580,36
1657700377,36
1657734892,38
1657736031,38
1657737680,38
1657744796,38
1657780717,38
1657815723,38
1657827444,38
1657841424,38
1657851524,38
1657853756,38
1657868023,38
1657911025,132
1657914749,132
1657938204,132
1657991885,132
1658011963,132
1658085387,132
1658086283,132
1658101152,132
1658101473,132
1658117893,132
1658120808,132
1658149282,130
1658163609,130
1658192584,130
1658255580,135
1658255781,135
1658265969,135
1658282799,135
1658284132,135
1658341011,138
1658425310,139
1658438101,139
1658446157,139
1658446785,139
1658460004,139
1658514131,139
1658536189,139
1658552506,139
1658614194,139
1658631652,139
1658698082,140
1658768591,139
1658788819,139
1658856132,140
1658878866,140
1658879072,140
1658965232,140
1659041782,141
1659049575,141
1659055055,141
1659106110,139
1659116097,139
1659126308,139
1659137081,139
1659154622,139
1659160562,139
1659197518,134
1659228149,134
1659229856,134
1659252439,134
1659298092,134
