CODE,MGY380H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,9
1657659549,9
1657678570,9
1657700365,9
1657734871,9
1657736010,9
1657737663,9
1657744779,9
1657780708,9
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,25
1657914736,25
1657938194,25
1657991875,24
1658011950,24
1658085371,24
1658086263,24
1658101142,24
1658101460,24
1658117879,24
1658120793,24
1658149259,24
1658163599,24
1658192570,24
1658255570,25
1658255771,25
1658265950,25
1658282790,25
1658284116,25
1658341001,26
1658425295,26
1658438086,26
1658446145,26
1658446771,26
1658459993,26
1658514122,26
1658536177,26
1658552496,26
1658614184,27
1658631640,27
1658698072,27
1658768579,27
1658788810,27
1658856123,27
1658878855,27
1658879061,27
1658965224,29
1659041771,29
1659049567,29
1659055044,29
