CODE,MIJ485H1-S-20229-LEC-0101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,42
1657659562,42
1657678580,42
1657700377,42
1657734892,42
1657736031,42
1657737680,42
1657744796,42
1657780717,42
1657815723,44
1657827444,44
1657841424,44
1657851524,44
1657853756,44
1657868023,44
1657911025,44
1657914749,44
1657938204,44
1657991885,44
1658011963,44
1658085387,45
1658086283,45
1658101152,45
1658101473,45
1658117893,45
1658120808,45
1658149282,45
1658163609,45
1658192584,45
1658255580,45
1658255781,45
1658265969,45
1658282799,45
1658284132,45
1658341011,45
1658425310,47
1658438101,47
1658446157,47
1658446785,47
1658460004,47
1658514131,47
