CODE,MST232H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,2
1657659549,2
1657678570,2
1657700365,2
1657734871,2
1657736010,2
1657737663,2
1657744779,2
1657780708,2
1657815709,2
1657827433,2
1657841414,2
1657851506,2
1657853745,2
1657868013,2
1657911016,4
1657914736,4
1657938194,4
1657991875,4
1658011950,4
1658085371,4
1658086263,4
1658101142,4
1658101460,4
1658117879,4
1658120793,4
1658149259,5
1658163599,5
1658192570,5
1658255570,9
1658255771,9
1658265950,9
1658282790,9
1658284116,9
1658341001,8
1658425295,8
1658438086,8
1658446145,8
1658446771,8
1658459993,8
1658514122,11
1658536177,11
1658552496,11
1658614184,11
1658631640,11
1658698072,11
1658768579,11
1658788810,11
1658856123,10
1658878855,10
1658879061,10
1658965224,10
1659041771,11
1659049567,11
1659055044,11
