CODE,MUS215H1-S-20229-LEC-0101
CAP,300
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,27
1657659562,27
1657678580,27
1657700377,27
1657734892,28
1657736031,28
1657737680,28
1657744796,28
1657780717,28
1657815723,28
1657827444,28
1657841424,28
1657851524,28
1657853756,28
1657868023,28
1657911025,48
1657914749,48
1657938204,48
1657991885,47
1658011963,47
1658085387,47
1658086283,47
1658101152,47
1658101473,47
1658117893,47
1658120808,47
1658149282,47
1658163609,47
1658192584,47
1658255580,74
1658255781,74
1658265969,74
1658282799,74
1658284132,74
1658341011,74
1658425310,74
1658438101,74
1658446157,74
1658446785,74
1658460004,74
1658514131,87
1658536189,87
1658552506,87
1658614194,88
1658631652,88
1658698082,91
1658768591,91
1658788819,91
1658856132,92
1658878866,92
1658879072,92
